Day Fraction	Calib 950	Calib 470	Err 950	Err 470	Time	
0.469171643	-0.000318266	-0.000189489	1	1	11:15:37.828	
0.469184279	-8.59912e-006	-0.000168591	1	1	11:15:38.921	
0.469196945	-0.000602127	-0.000202979	1	1	11:15:40.015	
0.469208717	0.000223651	-0.000187372	0	1	11:15:41.000	
0.469220996	-0.000511807	-0.000201392	1	1	11:15:42.093	
0.469233662	-0.000408585	-0.000151662	1	1	11:15:43.187	
0.469246328	-0.000137627	-0.000149546	1	1	11:15:44.281	
0.469258219	-0.000511807	-0.000121507	1	1	11:15:45.265	
0.469270378	-0.000176335	-0.000120448	1	1	11:15:46.359	
0.469283044	-0.000227946	-0.00013632	1	1	11:15:47.453	
0.469295681	-0.000266655	-0.000121771	1	1	11:15:48.546	
0.469307601	-0.000266655	-0.000184727	1	1	11:15:49.531	
0.469319761	-0.000395682	-0.000161185	1	1	11:15:50.625	
0.469332397	8.17206e-005	-0.000150604	0	1	11:15:51.718	
0.469345063	-9.89186e-005	-0.000191869	1	1	11:15:52.812	
0.469356954	-0.000395682	-0.000140552	1	1	11:15:53.796	
0.469369113	-4.73074e-005	-0.000125739	1	1	11:15:54.890	
0.469381779	-0.000550516	-0.00017785	1	1	11:15:55.984	
0.469394445	5.59149e-005	-0.000151927	0	1	11:15:57.078	
0.469406456	-0.000356974	-0.000190018	1	1	11:15:58.062	
0.469418496	-0.000589224	-0.000145843	1	1	11:15:59.156	
0.469431162	0.000210748	-0.000187372	0	1	11:16:00.250	
0.469443798	-0.00075696	-0.000161185	1	1	11:16:01.343	
0.469455838	-0.000486002	-0.000167269	1	1	11:16:02.328	
0.469467849	-8.59912e-006	-0.000116216	1	1	11:16:03.421	
0.469480515	-0.000395682	-1.94013e-005	1	1	11:16:04.515	
0.469493181	0.00040429	2.97996e-005	0	0	11:16:05.609	
0.469505191	-3.44046e-005	-1.01432e-005	1	1	11:16:06.593	
0.469517231	4.30349e-006	-3.15694e-005	0	1	11:16:07.687	
0.469529897	-5.59349e-005	-3.15658e-005	1	1	11:16:08.781	
0.469542563	-0.00041736	-1.86044e-005	1	1	11:16:09.875	
0.469554693	0.000266774	-4.02979e-005	0	1	11:16:10.859	
0.469566584	-0.000133376	-1.67557e-005	1	1	11:16:11.953	
0.46957925	3.44283e-005	-2.01944e-005	0	1	11:16:13.046	
0.469591916	0.000176417	6.52198e-006	0	0	11:16:14.140	
0.469604075	-0.000404445	2.58317e-005	1	0	11:16:15.125	
0.469615966	8.60607e-005	-1.49041e-005	0	1	11:16:16.218	
0.469628632	-0.000365721	-1.62266e-005	1	1	11:16:17.312	
0.469641298	-0.00010756	-2.78655e-005	1	1	11:16:18.406	
0.469653428	0.00035713	-3.15687e-005	0	1	11:16:19.390	
0.469665349	-0.000456077	-3.633e-005	1	1	11:16:20.484	
0.469677985	0.000124785	6.52198e-006	0	0	11:16:21.578	
0.469690651	0.000189325	-4.87624e-005	0	1	11:16:22.671	
0.469702929	-0.000456077	-1.78138e-005	1	1	11:16:23.656	
0.469714701	0.000266774	-5.91047e-006	0	1	11:16:24.750	
0.469727367	-0.000301181	-3.36849e-005	1	1	11:16:25.843	
0.469740033	-0.0001721	-3.73881e-005	1	1	11:16:26.937	
0.469752312	2.15204e-005	-4.77043e-005	0	1	11:16:27.921	
0.469764084	-0.000417353	-1.17298e-005	1	1	11:16:29.015	
0.46977675	-1.72038e-005	-3.44784e-005	1	1	11:16:30.109	
0.469789386	-0.000365721	-4.95559e-005	1	1	11:16:31.203	
0.469801694	-0.000146284	1.60446e-005	1	0	11:16:32.187	
0.469813466	-5.59279e-005	-1.14911e-006	1	1	11:16:33.281	
0.469826102	-0.000326997	9.43159e-006	1	0	11:16:34.375	
0.469838768	9.89686e-005	4.40579e-006	0	0	11:16:35.468	
0.469851047	-0.000314089	2.55416e-006	1	0	11:16:36.453	
0.469862819	-0.00010756	-1.12008e-005	1	1	11:16:37.546	
0.469875485	0.000473302	-3.81817e-005	0	1	11:16:38.640	
0.469888151	-0.000365721	-3.73881e-005	1	1	11:16:39.734	
0.469900548	0.000228049	-1.06718e-005	0	1	11:16:40.718	
0.469912201	-0.000120468	1.49865e-005	1	0	11:16:41.812	
0.469924867	-0.000598066	-1.56976e-005	1	1	11:16:42.906	
0.469937503	0.000408762	-3.92398e-005	0	1	11:16:44.000	
0.469949931	-0.000585158	-3.20978e-005	1	1	11:16:44.984	
0.469961584	-0.000236641	1.41929e-005	1	0	11:16:46.078	
0.46997422	0.000228049	-3.58011e-005	0	1	11:16:47.171	
0.469986886	-0.000456077	1.78962e-005	1	0	11:16:48.265	
0.469999284	6.02445e-005	-2.54848e-005	0	1	11:16:49.250	
0.470010936	-0.000339905	2.81859e-006	1	0	11:16:50.343	
0.470023602	-0.000197917	-7.49756e-006	1	1	11:16:51.437	
0.470036268	-0.00010756	-2.73619e-006	1	1	11:16:52.531	
0.470048785	-0.000314089	-1.27879e-005	1	1	11:16:53.515	
0.470060289	-4.29588e-006	-4.58783e-006	1	1	11:16:54.609	
0.470072985	-0.000159192	-4.71753e-005	1	1	11:16:55.703	
0.470085621	3.44287e-005	2.2896e-006	0	0	11:16:56.796	
0.470098168	0.000137693	-2.54848e-005	0	1	11:16:57.781	
0.470109671	-0.000494801	-7.49756e-006	1	1	11:16:58.875	
0.470122337	0.000253865	9.69614e-006	0	0	11:16:59.968	
0.470135003	-0.000301181	2.81859e-006	1	0	11:17:01.062	
0.47014752	-0.000120468	-1.25234e-005	1	1	11:17:02.046	
0.470159054	0.000305498	-3.13042e-005	0	1	11:17:03.140	
0.47017169	-0.000649698	-1.41106e-005	1	1	11:17:04.234	
0.470184386	-6.88358e-005	-2.62783e-005	1	1	11:17:05.328	
0.470197022	0.000318406	-6.33109e-005	0	1	11:17:06.421	
0.470208406	-0.000623882	3.16512e-005	1	0	11:17:07.406	
0.470221072	0.000318406	8.63805e-006	0	0	11:17:08.500	
0.470233738	-0.000288273	-2.91881e-005	1	1	11:17:09.593	
0.470246404	-0.000301181	7.58007e-006	1	0	11:17:10.687	
0.470257789	-0.000159192	-2.36332e-005	1	1	11:17:11.671	
0.470270455	-0.000185008	-1.96655e-005	1	1	11:17:12.765	
0.470283091	4.73366e-005	2.84769e-005	0	0	11:17:13.859	
0.470295787	-8.17442e-005	-1.27879e-005	1	1	11:17:14.953	
0.470307171	-4.302e-005	1.20768e-005	1	0	11:17:15.937	
0.470319808	2.15204e-005	-3.6859e-005	0	1	11:17:17.031	
0.470332474	-0.000146284	-2.17815e-005	1	1	11:17:18.125	
0.47034514	6.02445e-005	-1.30525e-005	0	1	11:17:19.218	
0.470356673	-0.000223733	-2.0988e-005	1	1	11:17:20.203	
0.47036919	-0.000275365	3.08575e-005	1	0	11:17:21.296	
