# t (s), T_Al (K), flux_Al (nm^-2.s^-1), z (nm), x
6.352072939847579391e+01,1.322331980721165110e+03,6.706744356172764654e-01,1.380154048905063924e+01,1.000000000000000000e+00
6.402089262208583875e+01,1.322187728264750604e+03,6.685730492984052198e-01,1.390674104404052258e+01,1.000000000000000000e+00
6.452105584569588359e+01,1.322043475293871097e+03,6.664777792816083402e-01,1.401189405874579741e+01,1.000000000000000000e+00
6.502121906930592843e+01,1.321899221510575899e+03,6.643886048713929515e-01,1.411699967150460111e+01,1.000000000000000000e+00
6.552138229291597327e+01,1.321754966567210658e+03,6.623055047457593325e-01,1.422205802017908916e+01,1.000000000000000000e+00
6.602154551652601810e+01,1.321610710136270427e+03,6.602284579705195444e-01,1.432706924215273325e+01,1.000000000000000000e+00
6.652170874013606294e+01,1.321466451935458963e+03,6.581574443538292796e-01,1.443203347434312356e+01,1.000000000000000000e+00
6.702187196374610778e+01,1.321322191545940086e+03,6.560924418384613821e-01,1.453695085318924995e+01,1.000000000000000000e+00
6.752203518735615262e+01,1.321177928769240680e+03,6.540334316163833872e-01,1.464182151466717130e+01,1.000000000000000000e+00
6.802219841096619746e+01,1.321033663161885215e+03,6.519803914694476399e-01,1.474664559428819821e+01,1.000000000000000000e+00
6.852236163457624230e+01,1.320889394494573935e+03,6.499333023258564435e-01,1.485142322709590346e+01,1.000000000000000000e+00
6.902252485818630134e+01,1.320745122424579222e+03,6.478921435871323187e-01,1.495615454768447172e+01,1.000000000000000000e+00
6.952268808179634618e+01,1.320600846580528923e+03,6.458568943454453537e-01,1.506083969017789137e+01,1.000000000000000000e+00
7.002285130540639102e+01,1.320456566792652893e+03,6.438275366228334295e-01,1.516547878825965512e+01,1.000000000000000000e+00
7.052301452901643586e+01,1.320312282495502814e+03,6.418040469651397073e-01,1.527007197514390313e+01,1.000000000000000000e+00
7.102317775262648070e+01,1.320167993650100698e+03,6.397864093985873302e-01,1.537461938359813196e+01,1.000000000000000000e+00
7.152334097623652553e+01,1.320023699726024233e+03,6.377746011501499446e-01,1.547912114595090927e+01,1.000000000000000000e+00
7.202350419984657037e+01,1.319879400548263675e+03,6.357686045029973254e-01,1.558357739407212961e+01,1.000000000000000000e+00
7.252366742345661521e+01,1.319735095776745993e+03,6.337683995199155929e-01,1.568798825940513275e+01,1.000000000000000000e+00
7.302383064706666005e+01,1.319590785014926496e+03,6.317739655750620464e-01,1.579235387293375936e+01,1.000000000000000000e+00
7.352399387067670489e+01,1.319446468170444177e+03,6.297852863274702173e-01,1.589667436522308464e+01,1.000000000000000000e+00
7.402415709428674973e+01,1.319302144582593655e+03,6.278023376886425755e-01,1.600094986638018923e+01,1.000000000000000000e+00
7.452432031789679456e+01,1.319157814349489172e+03,6.258251060912370933e-01,1.610518050608558838e+01,1.000000000000000000e+00
7.502448354150683940e+01,1.319013476801889738e+03,6.238535675204193165e-01,1.620936641359406138e+01,1.000000000000000000e+00
7.552464676511688424e+01,1.318869131915973639e+03,6.218877068798983609e-01,1.631350771771732866e+01,1.000000000000000000e+00
7.602480998872692908e+01,1.318724779241567830e+03,6.199275033299866955e-01,1.641760454686002291e+01,1.000000000000000000e+00
7.652497321233697392e+01,1.318580418485446216e+03,6.179729382582166419e-01,1.652165702897985966e+01,1.000000000000000000e+00
7.702513643594701875e+01,1.318436049488521348e+03,6.160239949402296356e-01,1.662566529163425244e+01,1.000000000000000000e+00
7.752529965955706359e+01,1.318291671654517586e+03,6.140806508340264092e-01,1.672962946193580080e+01,1.000000000000000000e+00
7.802546288316712264e+01,1.318147285141850944e+03,6.121428936382600217e-01,1.683354966660239427e+01,1.000000000000000000e+00
7.852562610677716748e+01,1.318002889037960358e+03,6.102106967492767486e-01,1.693742603191120111e+01,1.000000000000000000e+00
7.902578933038721232e+01,1.317858483672947386e+03,6.082840502944169003e-01,1.704125868372618058e+01,1.000000000000000000e+00
7.952595255399725716e+01,1.317714068268732717e+03,6.063629296611352526e-01,1.714504774752063909e+01,1.000000000000000000e+00
8.002611577760730199e+01,1.317569642868258597e+03,6.044473212642215154e-01,1.724879334833517674e+01,1.000000000000000000e+00
8.052627900121734683e+01,1.317425206998005024e+03,6.025372047233507056e-01,1.735249561082562408e+01,1.000000000000000000e+00
8.102644222482739167e+01,1.317280760388686986e+03,6.006325624523128903e-01,1.745615465921772369e+01,1.000000000000000000e+00
8.152660544843743651e+01,1.317136302895195513e+03,5.987333785679417320e-01,1.755977061735806899e+01,1.000000000000000000e+00
8.202676867204748135e+01,1.316991833913393293e+03,5.968396312322181707e-01,1.766334360866594722e+01,1.000000000000000000e+00
8.252693189565752618e+01,1.316847353648004400e+03,5.949513092870858388e-01,1.776687375618685749e+01,1.000000000000000000e+00
8.302709511926757102e+01,1.316702861139833658e+03,5.930683864283965434e-01,1.787036118254192729e+01,1.000000000000000000e+00
